Time,VehicleId,Pos_x,Pos_y,Speed,Lane,Acceleration,LeaderID,LeaderSpeed,LeaderGap,Deceleration,RelativeSpeed,TTC,SafeDistance,hard_brake,danger_accel_toward_leader,leader_stopped,no_reaction_to_stopped_leader,SafeDangerZone
7.4,0,-71.55,-1.6,3.09,21,-1.45,10101,0.23,6.55,1.45,2.86,2.2902097902097904,0.927,False,False,False,False,1
7.4,1,-88.3,-1.6,4.38,21,1.1,0,3.09,11.75,0.0,1.29,9.108527131782946,1.314,False,False,False,False,1
7.4,2,25.86,1.6,8.68,14,-2.0,-1,-1.0,-1.0,2.0,9.68,999.0,2.604,False,False,False,False,0
7.4,4,-1.6,46.43,11.43,16,0.99,-1,-1.0,-1.0,0.0,12.43,999.0,3.4290000000000003,False,False,False,False,0
7.4,10101,-60.0,-1.6,0.23,21,-3.9,-1,-1.0,-1.0,3.9,1.23,999.0,0.069,False,False,False,False,0
7.5,0,-71.26,1.6,2.87,20,-2.15,-1,-1.0,-1.0,2.15,3.87,999.0,0.8610000000000001,False,False,False,False,0
7.5,2,25.01,1.6,8.48,14,-2.0,-1,-1.0,-1.0,2.0,9.48,999.0,2.5440000000000005,False,False,False,False,0
7.5,10101,-60.0,-1.6,0.0,21,-2.25,-1,-1.0,-1.0,2.25,1.0,999.0,0.0,False,False,False,False,0
7.6,0,-70.5,1.6,7.59,20,47.17,-1,-1.0,-1.0,0.0,8.59,999.0,2.277,False,False,False,False,0
7.6,2,24.18,1.6,8.28,14,-2.0,-1,-1.0,-1.0,2.0,9.28,999.0,2.484,False,False,False,False,0
7.6,10101,-60.0,-1.6,0.0,21,-0.04,-1,-1.0,-1.0,0.04,1.0,999.0,0.0,False,False,False,False,0
7.7,0,-69.26,1.6,12.48,20,48.86,-1,-1.0,-1.0,0.0,13.48,999.0,3.7439999999999998,False,False,False,False,0
7.7,2,23.37,1.6,8.08,14,-2.0,-1,-1.0,-1.0,2.0,9.08,999.0,2.4240000000000004,False,False,False,False,0
7.7,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
7.8,0,-67.95,1.6,13.02,20,5.46,-1,-1.0,-1.0,0.0,14.02,999.0,3.906,False,False,False,False,0
7.8,2,22.59,1.6,7.88,14,-2.0,-1,-1.0,-1.0,2.0,8.879999999999999,999.0,2.364,False,False,False,False,0
7.8,3,37.04,1.6,7.65,14,-2.0,2,7.88,9.45,2.0,-0.22999999999999954,999.0,2.295,False,False,False,False,1
7.8,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
7.9,0,-66.66,1.6,12.95,20,-0.74,-1,-1.0,-1.0,0.74,13.95,999.0,3.885,False,False,False,False,0
7.9,2,21.82,1.6,7.68,14,-2.0,-1,-1.0,-1.0,2.0,8.68,999.0,2.3040000000000003,False,False,False,False,0
7.9,3,36.28,1.6,7.59,14,-0.53,2,7.68,9.46,0.53,-0.08999999999999986,999.0,2.277,False,False,False,False,1
7.9,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.0,0,-65.36,1.6,12.96,20,0.15,-1,-1.0,-1.0,0.0,13.96,999.0,3.888,False,False,False,False,0
8.0,2,21.07,1.6,7.48,14,-2.0,-1,-1.0,-1.0,2.0,8.48,999.0,2.2439999999999998,False,False,False,False,0
8.0,3,35.54,1.6,7.39,14,-2.0,2,7.48,9.47,2.0,-0.09000000000000075,999.0,2.217,False,False,False,False,1
8.0,10101,-60.0,-1.6,0.0,21,0.0,-1,-1.0,-1.0,0.0,1.0,999.0,0.0,False,False,False,False,0
8.1,0,-64.1,1.6,12.61,20,-3.5,-1,-1.0,-1.0,3.5,13.61,999.0,3.7829999999999995,False,False,False,False,0
8.1,2,20.34,1.6,7.3,14,-1.77,-1,-1.0,-1.0,1.77,8.3,999.0,2.19,False,False,False,False,0
8.1,3,34.82,1.6,7.19,14,-2.0,2,7.3,9.48,2.0,-0.10999999999999943,999.0,2.157,False,False,False,False,1
