"Time","VehicleId","Pos_x","Pos_y","Type","Speed","Lane","Slope","LeaderID","LeaderSpeed","LeaderGap","Acceleration"
"4.60","vehicle_3","69.75","1.60","type3","12.65","east_left_0","0.00","vehicle_2","13.86","7.12","-1.82"
"4.60","vehicle_4","-1.60","78.02","type2","11.04","north_down_0","0.00","-1","-1","-1","-2.67"
"4.60","vehicle_5","-1.60","91.73","type4","6.23","north_down_0","0.00","vehicle_4","11.04","8.71","4.51"
"4.60","x","-75.42","-1.60","obstacle","9.85","west_right_0","0.00","-1","-1","-1","-0.86"
"4.70","vehicle_0","-86.41","-1.60","type1","7.65","west_right_0","0.00","x","9.87","6.98","0.09"
"4.70","vehicle_1","-94.88","-1.60","type5","0.20","west_right_0","0.00","vehicle_0","7.65","3.47","1.97"
"4.70","vehicle_2","56.23","1.60","type3","13.90","east_left_0","0.00","-1","-1","-1","0.43"
"4.70","vehicle_3","68.50","1.60","type3","12.45","east_left_0","0.00","vehicle_2","13.90","7.27","-2.00"
"4.70","vehicle_4","-1.60","76.89","type2","11.34","north_down_0","0.00","-1","-1","-1","2.94"
"4.70","vehicle_5","-1.60","91.06","type4","6.63","north_down_0","0.00","vehicle_4","11.34","9.18","3.97"
"4.70","x","-74.43","-1.60","obstacle","9.87","west_right_0","0.00","-1","-1","-1","0.13"
"4.80","vehicle_0","-85.66","-1.60","type1","7.47","west_right_0","0.00","x","9.98","7.23","-1.83"
"4.80","vehicle_1","-94.84","-1.60","type5","0.39","west_right_0","0.00","vehicle_0","7.47","4.18","1.92"
"4.80","vehicle_2","54.86","1.60","type3","13.70","east_left_0","0.00","-1","-1","-1","-2.00"
"4.80","vehicle_3","67.28","1.60","type3","12.25","east_left_0","0.00","vehicle_2","13.70","7.42","-2.00"
"4.80","vehicle_4","-1.60","75.77","type2","11.16","north_down_0","0.00","-1","-1","-1","-1.79"
"4.80","vehicle_5","-1.60","90.36","type4","7.04","north_down_0","0.00","vehicle_4","11.16","9.59","4.15"
"4.80","x","-73.43","-1.60","obstacle","9.98","west_right_0","0.00","-1","-1","-1","1.14"
"4.90","vehicle_0","-84.89","-1.60","type1","7.72","west_right_0","0.00","x","9.90","7.45","2.57"
"4.90","vehicle_1","-94.78","-1.60","type5","0.59","west_right_0","0.00","vehicle_0","7.72","4.89","1.98"
"4.90","vehicle_2","53.50","1.60","type3","13.60","east_left_0","0.00","-1","-1","-1","-1.03"
"4.90","vehicle_3","66.07","1.60","type3","12.07","east_left_0","0.00","vehicle_2","13.60","7.57","-1.72"
"4.90","vehicle_4","-1.60","74.64","type2","11.35","north_down_0","0.00","-1","-1","-1","1.90"
"4.90","vehicle_5","-1.60","89.64","type4","7.21","north_down_0","0.00","vehicle_4","11.35","10.00","1.67"
"4.90","x","-72.44","-1.60","obstacle","9.90","west_right_0","0.00","-1","-1","-1","-0.85"
"5.00","vehicle_0","-84.09","-1.60","type1","7.95","west_right_0","0.00","x","9.66","7.62","2.24"
