Time,VehicleId,Pos_x,Pos_y,Angle,Type,Speed,Lane,Slope,Acceleration,LeaderID,LeaderSpeed,LeaderGap
4.3,4,-1.6,81.38,180,type2,11.07,north_down_0,0,-1.65,-1,-1,-1
4.3,5,-1.6,93.43,180,type4,4.63,north_down_0,0,7.94,4,11.07,7.05
4.3,10101,-78.36,-1.6,90,obstacle,9.37,west_right_0,0,1.51,-1,-1,-1
4.4,0,-88.66,-1.6,90,type1,6.9,west_right_0,0,2.63,10101,9.65,6.26
4.4,2,60.41,1.6,270,type3,14.26,east_left_0,0,-2,-1,-1,-1
4.4,3,72.29,1.6,270,type3,12.87,east_left_0,0,-2,2,14.26,6.88
4.4,4,-1.6,80.26,180,type2,11.25,north_down_0,0,1.84,-1,-1,-1
4.4,5,-1.6,92.93,180,type4,5.02,north_down_0,0,3.88,4,11.25,7.67
4.4,10101,-77.39,-1.6,90,obstacle,9.65,west_right_0,0,2.83,-1,-1,-1
4.5,0,-87.94,-1.6,90,type1,7.18,west_right_0,0,2.73,10101,9.94,6.54
4.5,2,59.01,1.6,270,type3,14.06,east_left_0,0,-2,-1,-1,-1
4.5,3,71.01,1.6,270,type3,12.83,east_left_0,0,-0.38,2,14.06,7
4.5,4,-1.6,79.12,180,type2,11.31,north_down_0,0,0.56,-1,-1,-1
4.5,5,-1.6,92.35,180,type4,5.78,north_down_0,0,7.61,4,11.31,8.22
4.5,10101,-76.4,-1.6,90,obstacle,9.94,west_right_0,0,2.89,-1,-1,-1
4.6,0,-87.17,-1.6,90,type1,7.64,west_right_0,0,4.66,10101,9.85,6.76
4.6,1,-94.9,-1.6,90,type5,0,west_right_0,0,0,0,7.64,2.73
4.6,2,57.62,1.6,270,type3,13.86,east_left_0,0,-2,-1,-1,-1
4.6,3,69.75,1.6,270,type3,12.65,east_left_0,0,-1.82,2,13.86,7.12
4.6,4,-1.6,78.02,180,type2,11.04,north_down_0,0,-2.67,-1,-1,-1
4.6,5,-1.6,91.73,180,type4,6.23,north_down_0,0,4.51,4,11.04,8.71
4.6,10101,-75.42,-1.6,90,obstacle,9.85,west_right_0,0,-0.86,-1,-1,-1
4.7,0,-86.41,-1.6,90,type1,7.65,west_right_0,0,0.09,10101,9.87,6.98
4.7,1,-94.88,-1.6,90,type5,0.2,west_right_0,0,1.97,0,7.65,3.47
4.7,2,56.23,1.6,270,type3,13.9,east_left_0,0,0.43,-1,-1,-1
4.7,3,68.5,1.6,270,type3,12.45,east_left_0,0,-2,2,13.9,7.27
4.7,4,-1.6,76.89,180,type2,11.34,north_down_0,0,2.94,-1,-1,-1
4.7,5,-1.6,91.06,180,type4,6.63,north_down_0,0,3.97,4,11.34,9.18
4.7,10101,-74.43,-1.6,90,obstacle,9.87,west_right_0,0,0.13,-1,-1,-1
4.8,0,-85.66,-1.6,90,type1,7.47,west_right_0,0,-1.83,10101,9.98,7.23
4.8,1,-94.84,-1.6,90,type5,0.39,west_right_0,0,1.92,0,7.47,4.18
4.8,2,54.86,1.6,270,type3,13.7,east_left_0,0,-2,-1,-1,-1
4.8,3,67.28,1.6,270,type3,12.25,east_left_0,0,-2,2,13.7,7.42
4.8,4,-1.6,75.77,180,type2,11.16,north_down_0,0,-1.79,-1,-1,-1
4.8,5,-1.6,90.36,180,type4,7.04,north_down_0,0,4.15,4,11.16,9.59
4.8,10101,-73.43,-1.6,90,obstacle,9.98,west_right_0,0,1.14,-1,-1,-1
4.9,0,-84.89,-1.6,90,type1,7.72,west_right_0,0,2.57,10101,9.9,7.45
4.9,1,-94.78,-1.6,90,type5,0.59,west_right_0,0,1.98,0,7.72,4.89
4.9,2,53.5,1.6,270,type3,13.6,east_left_0,0,-1.03,-1,-1,-1
4.9,3,66.07,1.6,270,type3,12.07,east_left_0,0,-1.72,2,13.6,7.57
4.9,4,-1.6,74.64,180,type2,11.35,north_down_0,0,1.9,-1,-1,-1
4.9,5,-1.6,89.64,180,type4,7.21,north_down_0,0,1.67,4,11.35,10
4.9,10101,-72.44,-1.6,90,obstacle,9.9,west_right_0,0,-0.85,-1,-1,-1
5,0,-84.09,-1.6,90,type1,7.95,west_right_0,0,2.24,10101,9.66,7.62
5,1,-94.71,-1.6,90,type5,0.76,west_right_0,0,1.78,0,7.95,5.61
5,2,52.16,1.6,270,type3,13.4,east_left_0,0,-2,-1,-1,-1
5,3,64.82,1.6,270,type3,12.45,east_left_0,0,3.8,2,13.4,7.66
5,4,-1.6,73.49,180,type2,11.46,north_down_0,0,1.11,-1,-1,-1
5,5,-1.6,88.85,180,type4,7.9,north_down_0,0,6.89,4,11.46,10.36
5,10101,-71.48,-1.6,90,obstacle,9.66,west_right_0,0,-2.4,-1,-1,-1
5.1,0,-83.33,-1.6,90,type1,7.68,west_right_0,0,-2.71,10101,9.31,7.78
5.1,1,-94.61,-1.6,90,type5,0.92,west_right_0,0,1.58,0,7.68,6.29
5.1,2,50.84,1.6,270,type3,13.2,east_left_0,0,-2,-1,-1,-1
5.1,3,63.6,1.6,270,type3,12.25,east_left_0,0,-2,2,13.2,7.76
5.1,4,-1.6,72.34,180,type2,11.48,north_down_0,0,0.25,-1,-1,-1
5.1,5,-1.6,88.05,180,type4,8.03,north_down_0,0,1.26,4,11.48,10.7
5.1,10101,-70.54,-1.6,90,obstacle,9.31,west_right_0,0,-3.44,-1,-1,-1
5.2,0,-82.57,-1.6,90,type1,7.55,west_right_0,0,-1.26,10101,8.91,7.92
5.2,1,-94.51,-1.6,90,type5,1.08,west_right_0,0,1.59,0,7.55,6.93
5.2,2,49.54,1.6,270,type3,13,east_left_0,0,-2,-1,-1,-1
5.2,3,62.39,1.6,270,type3,12.05,east_left_0,0,-2,2,13,7.85
5.2,4,-1.6,71.23,180,type2,11.17,north_down_0,0,-3.17,-1,-1,-1
5.2,5,-1.6,87.2,180,type4,8.42,north_down_0,0,3.97,4,11.17,10.98
