Time,VehicleId,Pos_x,Pos_y,Speed,Lane,LeaderID,LeaderSpeed,LeaderGap,Acceleration,Deceleration,RelativeSpeed,TTC,SafeDistance,LanePrev,lane_opposite_change,SafeUnsafeOvertaking
4.4,5,-1.6,92.93,5.02,16,4.0,11.25,7.67,3.88,0.0,-6.23,999.0,999.0,16.0,False,0
4.4,10101,-77.39,-1.6,9.65,21,-1.0,-1.0,-1.0,2.83,0.0,10.65,999.0,999.0,21.0,False,0
4.5,0,-87.94,-1.6,7.18,21,10101.0,9.94,6.54,2.73,0.0,-2.76,999.0,999.0,21.0,False,0
4.5,2,59.01,1.6,14.06,14,-1.0,-1.0,-1.0,-2.0,2.0,15.06,999.0,64.4809,14.0,False,0
4.5,3,71.01,1.6,12.83,14,2.0,14.06,7.0,-0.38,0.38,-1.2300000000000004,999.0,215.36065789473685,14.0,False,0
4.5,4,-1.6,79.12,11.31,16,-1.0,-1.0,-1.0,0.56,0.0,12.31,999.0,999.0,16.0,False,0
4.5,5,-1.6,92.35,5.78,16,4.0,11.31,8.22,7.61,0.0,-5.53,999.0,999.0,16.0,False,0
4.5,10101,-76.4,-1.6,9.94,21,-1.0,-1.0,-1.0,2.89,0.0,10.94,999.0,999.0,21.0,False,0
4.6,0,-87.17,-1.6,7.64,21,10101.0,9.85,6.76,4.66,0.0,-2.21,999.0,999.0,21.0,False,0
4.6,1,-94.9,-1.6,0.0,21,0.0,7.64,2.73,0.0,0.0,-7.64,999.0,999.0,999.0,False,0
4.6,2,57.62,1.6,13.86,14,-1.0,-1.0,-1.0,-2.0,2.0,14.86,999.0,62.884899999999995,14.0,False,0
4.6,3,69.75,1.6,12.65,14,2.0,13.86,7.12,-1.82,1.82,-1.209999999999999,999.0,42.75222527472528,14.0,False,0
4.6,4,-1.6,78.02,11.04,16,-1.0,-1.0,-1.0,-2.67,2.67,12.04,999.0,34.864269662921345,16.0,False,0
4.6,5,-1.6,91.73,6.23,16,4.0,11.04,8.71,4.51,0.0,-4.809999999999999,999.0,999.0,16.0,False,0
4.6,10101,-75.42,-1.6,9.85,21,-1.0,-1.0,-1.0,-0.86,0.86,10.85,999.0,67.25843023255814,21.0,False,0
4.7,0,-86.41,-1.6,7.65,21,10101.0,9.87,6.98,0.09,0.0,-2.219999999999999,999.0,999.0,21.0,False,0
4.7,1,-94.88,-1.6,0.2,21,0.0,7.65,3.47,1.97,0.0,-7.45,999.0,999.0,21.0,False,0
4.7,2,56.23,1.6,13.9,14,-1.0,-1.0,-1.0,0.43,0.0,14.9,999.0,999.0,14.0,False,0
4.7,3,68.5,1.6,12.45,14,2.0,13.9,7.27,-2.0,2.0,-1.450000000000001,999.0,37.30062499999999,14.0,False,0
4.7,4,-1.6,76.89,11.34,16,-1.0,-1.0,-1.0,2.94,0.0,12.34,999.0,999.0,16.0,False,0
4.7,5,-1.6,91.06,6.63,16,4.0,11.34,9.18,3.97,0.0,-4.71,999.0,999.0,16.0,False,0
4.7,10101,-74.43,-1.6,9.87,21,-1.0,-1.0,-1.0,0.13,0.0,10.87,999.0,999.0,21.0,False,0
4.8,0,-85.66,-1.6,7.47,21,10101.0,9.98,7.23,-1.83,1.83,-2.5100000000000007,999.0,12.736147540983605,21.0,False,0
4.8,1,-94.84,-1.6,0.39,21,0.0,7.47,4.18,1.92,0.0,-7.08,999.0,999.0,21.0,False,0
4.8,2,54.86,1.6,13.7,14,-1.0,-1.0,-1.0,-2.0,2.0,14.7,999.0,61.62249999999999,14.0,False,0
4.8,3,67.28,1.6,12.25,14,2.0,13.7,7.42,-2.0,2.0,-1.4499999999999993,999.0,36.065625,14.0,False,0
4.8,4,-1.6,75.77,11.16,16,-1.0,-1.0,-1.0,-1.79,1.79,12.16,999.0,46.94927374301676,16.0,False,0
4.8,5,-1.6,90.36,7.04,16,4.0,11.16,9.59,4.15,0.0,-4.12,999.0,999.0,16.0,False,0
4.8,10101,-73.43,-1.6,9.98,21,-1.0,-1.0,-1.0,1.14,0.0,10.98,999.0,999.0,21.0,False,0
4.9,0,-84.89,-1.6,7.72,21,10101.0,9.9,7.45,2.57,0.0,-2.1800000000000006,999.0,999.0,21.0,False,0
4.9,1,-94.78,-1.6,0.59,21,0.0,7.72,4.89,1.98,0.0,-7.13,999.0,999.0,21.0,False,0
4.9,2,53.5,1.6,13.6,14,-1.0,-1.0,-1.0,-1.03,1.03,14.6,999.0,104.38640776699027,14.0,False,0
4.9,3,66.07,1.6,12.07,14,2.0,13.6,7.57,-1.72,1.72,-1.5299999999999994,999.0,40.82026162790697,14.0,False,0
4.9,4,-1.6,74.64,11.35,16,-1.0,-1.0,-1.0,1.9,0.0,12.35,999.0,999.0,16.0,False,0
4.9,5,-1.6,89.64,7.21,16,4.0,11.35,10.0,1.67,0.0,-4.14,999.0,999.0,16.0,False,0
4.9,10101,-72.44,-1.6,9.9,21,-1.0,-1.0,-1.0,-0.85,0.85,10.9,999.0,68.5529411764706,21.0,False,0
5.0,0,-84.09,-1.6,7.95,21,10101.0,9.66,7.62,2.24,0.0,-1.71,999.0,999.0,21.0,False,0
5.0,1,-94.71,-1.6,0.76,21,0.0,7.95,5.61,1.78,0.0,-7.19,999.0,999.0,21.0,False,0
5.0,2,52.16,1.6,13.4,14,-1.0,-1.0,-1.0,-2.0,2.0,14.4,999.0,59.29,14.0,False,0
5.0,3,64.82,1.6,12.45,14,2.0,13.4,7.66,3.8,0.0,-0.9500000000000011,999.0,999.0,14.0,False,0
5.0,4,-1.6,73.49,11.46,16,-1.0,-1.0,-1.0,1.11,0.0,12.46,999.0,999.0,16.0,False,0
5.0,5,-1.6,88.85,7.9,16,4.0,11.46,10.36,6.89,0.0,-3.5600000000000005,999.0,999.0,16.0,False,0
5.0,10101,-71.48,-1.6,9.66,21,-1.0,-1.0,-1.0,-2.4,2.4,10.66,999.0,30.10075,21.0,False,0
5.1,0,-83.33,-1.6,7.68,21,10101.0,9.31,7.78,-2.71,2.71,-1.6300000000000008,999.0,9.252361623616235,21.0,False,0
5.1,1,-94.61,-1.6,0.92,21,0.0,7.68,6.29,1.58,0.0,-6.76,999.0,999.0,21.0,False,0
5.1,2,50.84,1.6,13.2,14,-1.0,-1.0,-1.0,-2.0,2.0,14.2,999.0,57.75999999999999,14.0,False,0
5.1,3,63.6,1.6,12.25,14,2.0,13.2,7.76,-2.0,2.0,-0.9499999999999993,999.0,36.565625,14.0,False,0
5.1,4,-1.6,72.34,11.48,16,-1.0,-1.0,-1.0,0.25,0.0,12.48,999.0,999.0,16.0,False,0
5.1,5,-1.6,88.05,8.03,16,4.0,11.48,10.7,1.26,0.0,-3.450000000000001,999.0,999.0,16.0,False,0
5.1,10101,-70.54,-1.6,9.31,21,-1.0,-1.0,-1.0,-3.44,3.44,10.31,999.0,22.908270348837213,21.0,False,0
5.2,0,-82.57,-1.6,7.55,21,10101.0,8.91,7.92,-1.26,1.26,-1.3600000000000003,999.0,21.26003968253968,21.0,False,0
5.2,1,-94.51,-1.6,1.08,21,0.0,7.55,6.93,1.59,0.0,-6.47,999.0,999.0,21.0,False,0
5.2,2,49.54,1.6,13.0,14,-1.0,-1.0,-1.0,-2.0,2.0,14.0,999.0,56.25,14.0,False,0
5.2,3,62.39,1.6,12.05,14,2.0,13.0,7.85,-2.0,2.0,-0.9499999999999993,999.0,35.35062500000001,14.0,False,0
5.2,4,-1.6,71.23,11.17,16,-1.0,-1.0,-1.0,-3.17,3.17,12.17,999.0,31.849637223974767,16.0,False,0
5.2,5,-1.6,87.2,8.42,16,4.0,11.17,10.98,3.97,0.0,-2.75,999.0,999.0,16.0,False,0
5.2,10101,-69.65,-1.6,8.91,21,-1.0,-1.0,-1.0,-4.0,4.0,9.91,999.0,19.8335125,21.0,False,0
5.3,0,-81.85,-1.6,7.2,21,10101.0,8.51,8.05,-3.5,3.5,-1.3099999999999996,999.0,6.095714285714287,21.0,False,1
5.3,1,-94.38,-1.6,1.26,21,0.0,7.2,7.53,1.79,0.0,-5.94,999.0,999.0,21.0,False,0
5.3,2,48.26,1.6,12.8,14,-1.0,-1.0,-1.0,-2.0,2.0,13.8,999.0,54.760000000000005,14.0,False,0
5.3,3,61.21,1.6,11.85,14,2.0,12.8,7.95,-2.0,2.0,-0.9500000000000011,999.0,34.15562499999999,14.0,False,0
5.3,4,-1.6,70.08,11.48,16,-1.0,-1.0,-1.0,3.15,0.0,12.48,999.0,999.0,16.0,False,0
5.3,5,-1.6,86.32,8.83,16,4.0,11.48,11.24,4.04,0.0,-2.6500000000000004,999.0,999.0,16.0,False,0
5.3,10101,-68.8,-1.6,8.51,21,-1.0,-1.0,-1.0,-4.0,4.0,9.51,999.0,18.562512499999997,21.0,False,0
5.4,0,-81.17,-1.6,6.85,21,10101.0,8.11,8.18,-3.5,3.5,-1.2599999999999998,999.0,5.4432142857142845,21.0,False,1
5.4,1,-94.24,-1.6,1.4,21,0.0,6.85,8.07,1.42,0.0,-5.449999999999999,999.0,999.0,21.0,False,0
5.4,2,46.99,1.6,12.67,14,-1.0,-1.0,-1.0,-1.35,1.35,13.67,999.0,73.12514814814814,14.0,False,0
5.4,3,60.04,1.6,11.65,14,2.0,12.67,8.05,-2.0,2.0,-1.0199999999999996,999.0,32.910624999999996,14.0,False,0
5.4,4,-1.6,68.98,11.01,16,-1.0,-1.0,-1.0,-4.66,4.66,12.01,999.0,25.01644849785408,16.0,False,0
5.4,5,-1.6,85.44,8.78,16,4.0,11.01,11.47,-0.45,0.45,-2.2300000000000004,999.0,83.42377777777776,16.0,False,0
5.4,10101,-67.99,-1.6,8.11,21,-1.0,-1.0,-1.0,-4.0,4.0,9.11,999.0,17.3315125,21.0,False,0
5.5,0,-80.5,-1.6,6.65,21,10101.0,7.71,8.28,-2.04,2.04,-1.0599999999999996,999.0,9.778848039215688,21.0,False,0
5.5,1,-94.08,-1.6,1.58,21,0.0,6.65,8.58,1.73,0.0,-5.07,999.0,999.0,21.0,False,0
5.5,2,45.75,1.6,12.47,14,-1.0,-1.0,-1.0,-2.0,2.0,13.47,999.0,52.345225000000006,14.0,False,0
5.5,3,58.9,1.6,11.45,14,2.0,12.47,8.15,-2.0,2.0,-1.0200000000000014,999.0,31.755624999999995,14.0,False,0
5.5,4,-1.6,67.86,11.2,16,-1.0,-1.0,-1.0,1.87,0.0,12.2,999.0,999.0,16.0,False,0
5.5,5,-1.6,84.52,9.2,16,4.0,11.2,11.67,4.18,0.0,-2.0,999.0,999.0,16.0,False,0
5.5,10101,-67.22,-1.6,7.71,21,-1.0,-1.0,-1.0,-4.0,4.0,8.71,999.0,16.1405125,21.0,False,0
5.6,0,-79.85,-1.6,6.53,21,10101.0,7.31,8.36,-1.2,1.2,-0.7799999999999994,999.0,16.98704166666667,21.0,False,0
5.6,1,-93.91,-1.6,1.72,21,0.0,6.53,9.06,1.47,0.0,-4.8100000000000005,999.0,999.0,21.0,False,0
5.6,2,44.52,1.6,12.27,14,-1.0,-1.0,-1.0,-2.0,2.0,13.27,999.0,50.908225,14.0,False,0
5.6,3,57.77,1.6,11.25,14,2.0,12.27,8.25,-2.0,2.0,-1.0199999999999996,999.0,30.620625,14.0,False,0
5.6,4,-1.6,66.75,11.07,16,-1.0,-1.0,-1.0,-1.34,1.34,12.07,999.0,57.79570895522388,16.0,False,0
5.6,5,-1.6,83.59,9.31,16,4.0,11.07,11.84,1.12,0.0,-1.7599999999999998,999.0,999.0,16.0,False,0
